transaction_id,date,amount,is_completed,customer_tier,notes
TXN_80,21-Aug-2025,$683.67,0,Silver,Note 79
TXN_81,03/04/2026,$932.38,1,Silver,Note 80
TXN_82,20251027,$624.17,0,Bronze,Note 81
TXN_83,2025-06-10,$805.72,1,Bronze,Note 82
TXN_84,07-Jan-2026,$92.89,1,NULL,Note 83
TXN_85,2025-07-22,$392.08,1,Gold,Note 84
TXN_86,09/04/2025,$380.21,0,Silver,Note 85
TXN_87,01-Apr-2025,$887.43,1,Bronze,Note 86
TXN_88,01-Apr-2025,$159.86,0,Gold,Note 87
TXN_89,28-Oct-2025,$160.37,0,Gold,Note 88
TXN_90,16-May-2025,$335.27,1,Platinum,Note 89
TXN_91,2025-08-28,$63.92,1,Gold,Note 90
TXN_92,04/19/2025,$190.63,0,Silver,Note 91
TXN_93,09/02/2025,$965.56,0,Bronze,Note 92
TXN_94,20260115,$433.90,0,Gold,Note 93
TXN_95,2025-03-31,$635.70,0,Platinum,Note 94
TXN_96,11/12/2025,$728.85,0,Bronze,Note 95
TXN_97,2025-07-13,$373.29,0,Gold,Note 96
TXN_98,2026-02-27,$155.75,1,Platinum,Note 97
TXN_99,04/28/2025,$214.52,0,Gold,Note 98
TXN_100,20250528,$320.13,0,Bronze,Note 99
TXN_101,20250925,$639.71,0,Bronze,Note 100
TXN_102,20250503,$404.30,0,Bronze,Note 101
TXN_103,18-Nov-2025,$16.75,1,Silver,Note 102
TXN_104,04/14/2025,$528.17,1,Gold,Note 103
TXN_105,07-Feb-2026,$922.30,0,Silver,Note 104
TXN_106,20-Apr-2025,$813.96,0,Bronze,Note 105
TXN_107,17-Jul-2025,$826.96,0,Platinum,Note 106
TXN_108,2025-03-18,$797.11,1,Gold,Note 107
TXN_109,2025-10-08,$330.49,1,Silver,Note 108
TXN_110,04/13/2025,$767.54,1,Gold,Note 109
TXN_111,08/14/2025,$151.73,1,Platinum,Note 110
TXN_112,2026-01-11,$661.14,1,Silver,Note 111
TXN_113,2025-12-30,$645.15,1,Bronze,Note 112
TXN_114,16-Feb-2026,$35.31,0,Silver,Note 113
TXN_115,20260220,$790.09,1,Gold,Note 114
TXN_116,20251007,$904.22,1,Gold,Note 115
TXN_117,20250702,$274.74,0,Gold,Note 116
TXN_118,20260111,$814.27,1,Gold,Note 117
TXN_119,20260121,$91.58,0,Bronze,Note 118
TXN_120,11-Nov-2025,$603.97,1,Silver,Note 119
TXN_121,06/09/2025,$490.79,0,Bronze,Note 120
TXN_122,2026-01-01,$550.46,0,Bronze,Note 121
TXN_123,25-Aug-2025,$926.94,0,Bronze,Note 122
TXN_124,20250722,$872.60,0,Gold,Note 123
TXN_125,2025-09-03,$787.23,0,Gold,Note 124
TXN_126,02-Apr-2025,$280.96,1,Gold,Note 125
TXN_127,20250320,$912.70,1,Silver,Note 126
TXN_128,08-Jun-2025,$106.53,0,Platinum,Note 127
TXN_129,2025-08-09,$854.80,0,Gold,Note 128
TXN_130,05/15/2025,$334.88,0,Silver,Note 129
TXN_131,20251222,$63.23,1,Gold,Note 130
TXN_132,2025-08-11,$672.66,0,Gold,Note 131
TXN_133,2025-04-10,$238.97,0,Bronze,Note 132
TXN_134,01/20/2026,$251.14,0,Bronze,Note 133
TXN_135,04-Jul-2025,$312.99,0,Bronze,Note 134
TXN_136,04/30/2025,$73.05,1,Silver,Note 135
TXN_137,08/15/2025,$185.36,0,Platinum,Note 136
TXN_138,19-Oct-2025,$15.09,0,Platinum,Note 137
TXN_139,23-Feb-2026,$450.96,1,Silver,Note 138
TXN_140,23-Mar-2025,$93.41,0,Gold,Note 139
TXN_141,2025-09-03,$685.83,0,Silver,Note 140
TXN_142,2025-11-20,$243.27,1,Gold,Note 141
TXN_143,20250727,$944.14,1,Silver,Note 142
TXN_144,20250727,$872.54,1,Silver,Note 143
TXN_145,11/11/2025,$296.55,0,Silver,Note 144
TXN_146,09/07/2025,$785.38,0,Platinum,Note 145
TXN_147,20260120,$805.21,1,Bronze,Note 146
TXN_148,03/25/2025,$986.70,1,Silver,Note 147
TXN_149,04-Sep-2025,$601.86,1,NULL,Note 148
TXN_150,2025-06-06,$91.15,0,Bronze,Note 149
TXN_151,20250415,$650.37,0,Bronze,Note 150
TXN_152,2025-09-09,$628.73,1,Silver,Note 151
TXN_153,20260208,$641.97,0,Gold,Note 152
TXN_154,2025-08-20,$314.07,1,Gold,Note 153
TXN_155,20251021,$861.08,0,Gold,Note 154
TXN_156,2025-12-04,$959.88,0,Silver,Note 155
TXN_157,08-Jan-2026,$225.54,0,Gold,Note 156
TXN_158,20250722,$97.27,0,Platinum,Note 157
TXN_159,20260124,$202.59,1,Platinum,Note 158
TXN_160,20250406,$822.35,0,Platinum,Note 159
TXN_161,23-Nov-2025,$679.88,0,Platinum,Note 160
TXN_162,2025-04-17,$639.69,1,Bronze,Note 161
TXN_163,20250418,$407.78,0,Platinum,Note 162
TXN_164,2025-05-10,$582.05,1,Gold,Note 163
TXN_165,01-Mar-2026,$314.80,1,Silver,Note 164
TXN_166,02/14/2026,$482.43,0,Gold,Note 165
TXN_167,20250922,$795.13,0,Platinum,Note 166
TXN_168,07-Nov-2025,$981.43,1,Bronze,Note 167
TXN_169,2026-01-06,$933.16,1,Platinum,Note 168
TXN_170,20250526,$934.53,1,Silver,Note 169
TXN_171,2025-11-26,$408.20,0,Gold,Note 170
TXN_172,02/04/2026,$474.10,1,Silver,Note 171
TXN_173,20250601,$708.58,1,NULL,Note 172
TXN_174,20251125,$922.97,1,NULL,Note 173
TXN_175,2025-05-15,$150.57,0,Gold,Note 174
TXN_176,20251121,$311.20,1,Platinum,Note 175
TXN_177,12-Nov-2025,$147.85,0,Silver,Note 176
TXN_178,24-Sep-2025,$615.89,0,Gold,Note 177
TXN_179,12/26/2025,$313.24,1,Bronze,Note 178
TXN_180,10-May-2025,$332.85,0,Gold,Note 179
TXN_181,03/10/2026,$80.21,1,Bronze,Note 180
TXN_182,2025-10-21,$356.30,0,Gold,Note 181
TXN_183,2025-12-27,$863.87,0,Platinum,Note 182
TXN_184,01/04/2026,$240.74,1,Silver,Note 183
TXN_185,08-Jun-2025,$698.24,1,Platinum,Note 184
TXN_186,03-Nov-2025,$633.33,1,Gold,Note 185
TXN_187,12/12/2025,$864.85,0,Silver,Note 186
TXN_188,01/14/2026,$140.97,0,Bronze,Note 187
TXN_189,2025-04-07,$977.81,1,Gold,Note 188
TXN_190,02/26/2026,$586.80,1,Silver,Note 189
TXN_191,03-Jan-2026,$995.52,0,Bronze,Note 190
TXN_192,03/04/2026,$912.40,0,Bronze,Note 191
TXN_193,09/09/2025,$229.30,0,Platinum,Note 192
TXN_194,11/10/2025,$65.60,1,Gold,Note 193
TXN_195,2025-05-14,$263.08,0,Bronze,Note 194
TXN_196,09/27/2025,$532.29,1,Silver,Note 195
TXN_197,20260303,$179.88,0,Bronze,Note 196
TXN_198,20251212,$175.79,0,Bronze,Note 197
TXN_199,20251027,$467.97,1,Platinum,Note 198
TXN_200,13-Feb-2026,$42.94,1,Platinum,Note 199
